ID,Name,Age,Email,Score
122,gmfHtbO,21,user121@example.com,76.79
123,ksMzLsA,25,not_an_email,42.15
124,AMXfDqO,65,NA,NaN
125,AtRAAmx,58,user124@mail.net,38.45
126,krfSFiq,-5,user125@mail.net,46.92
127,DBfkjpu,53,user126@example.com,4.41
128,EehpImy,40,user127@example.com,3.34
129,TpUgpuB,52,user128@mail.net,34.76
130,jgvpxMd,50,user129@test.org,14.13
131,puSHTVL,999,user130@test.org,44.45
132,NA,23,user131@example.com,18.31
133,XLLTvIj,63,user132@mail.net,47.6
134,TVUqoMo,22,user133@test.org,10.58
135,MKoHLAW,62,user134@example.com,62.92
136,,53,user135@test.org,93.44
136,,53,user135@test.org,93.44
137,SscAjbH,20,user136@mail.net,78.63
138,rZjCJfG,20,user137@test.org,21.23
139,IszMqLK,53,user138@example.com,50.48
140,XkxLRRk,25,user139@mail.net,52.6
141,urliwKq,60,user140#notanemail,78.71
142,GmWPkip,25,user141@example.com,34.61
143,ycZbLvT,61,user142@example.com,82.51
144,zoqpGgE,40,user143@example.com,26.7
145,qZEpvGx,999,user144@mail.net,
146,lHbJhJO,35,user145@test.org,22.03
146,lHbJhJO,35,user145@test.org,22.03
147,KTkCkqk,41,user146@example.com,12.04
148,iipHIwA,64,NaN,59.28
149,TWDuPUV,42,not_an_email,21.56
150,YtASEOW,28,user149@example.com,11.55
151,VWnLcbD,30,user150@mail.net,52.13
152,jBIdwRA,NaN,user151@example.com,52.0
153,GyMwvtg,25,user152@example.com,87.89
154,gHAArZo,39,user153@example.com,41.45
155,nFIBMNW,23,user154#notanemail,NaN
156,fWYHrYu,63,NA,abc
157,EJsLQOo,28,user156@mail.net,29.47
158,lvXCpYb,57,user157@test.org,36.27
159,EFvRIbf,38,user158@mail.net,180.59
160,ZjZdthb,40,user159@example.com,37.89
160,ZjZdthb,40,user159@example.com,37.89
161,12345,55,user160@mail.net,65.01
162,null,60,user161@mail.net,7.38
163,GXZLdUn,26,user162@test.org,64.74
164,XNdZUgc,35,user163@example.com,41.3
165,acdeEUJ,-5,user164@example.com,3.01
166,YxaGdiY,0,user165@mail.net,46.19
167,nQBrdHA,56,user166@test.org,91.49
168,aWhxZrX,64,not_an_email,75.43
169,12345,32,user168@mail.net,21.73
170,null,31,user169@example.com,48.08
171,mAonNVZ,50,user170@mail.net,23.31
172,dJpOIkj,24,user171@mail.net,94.09
173,BZaQFjt,149,user172@test.org,57.66
174,ixojfWU,52,user173@test.org,10.03
175,fYUrkRl,60,user174@example.com,13.1
176,dzNncSZ,0,none,27.76
177,none,36,user176@mail.net,160.66
178,sHkPrSL,65,,17.92
179,pcCazyO,52,user178@test.org,71.55
180,TnjGUki,22,user179@example.com,66.23
181,tQDubJF,25,user180@example.com,16.69
182,PWauFKm,45,user181@mail.net,abc
183,edKjmIl,25,user182@example.com,92.4
184,rbQJfCS,19,user183@mail.net,50.15
185,hRBcVyY,27,user184@mail.net,34.19
186,VoIBfXH,19,user185@example.com,68.92
187,12345,52,user186@test.org,86.07
188,ilMsqBR,NaN,user187@example.com,19.55
189,VxldCen,49,user188@test.org,94.67
190,DGPJyYo,27,user189@mail.net,46.92
191,rbYNvkV,35,null,1.47
192,izvTpDy,NaN,null,34.35
193,LxURSjj,37,user192@example.com,35.38
194,qDQiBhC,27,user193@mail.net,abc
195,OapRNMV,37,user194@test.org,10.92
196,12345,null,user195@test.org,59.84
197,ZRAoCAj,999,user196@mail.net,NA
198,stSeTHh,none,user197@test.org,61.53
199,gCbyBMu,39,user198@test.org,-15
200,,22,user199@test.org,13.71
201,QVnQrGt,-5,user200@test.org,88.02
202,qXeiSwu,39,user201@mail.net,NaN
203,bupomib,58,user202@example.com,3.7
204,xzGwTWE,48,not_an_email,69.9
205,rZvmKaC,47,user204@example.com,57.06
206,nhrkdfA,64,user205#notanemail,abc
207,aBajyUS,48,not_an_email,null
208,phfCHNi,40,user207@example.com,70.36
209,inFuYlD,49,not_an_email,3.45
210,Weqrmag,56,user209@mail.net,12.02
211,CbeQsGm,34,user210@example.com,54.27
212,bYOlmNH,23,user211@example.com,73.14
213,WOhdfJK,23,user212@test.org,96.92
214,CprraSi,59,user213@mail.net,145.74
215,RgUtkNl,33,user214@example.com,87.03
216,birYede,45,user215@example.com,27.82
216,birYede,45,user215@example.com,27.82
217,hSUfMLF,44,user216@mail.net,NaN
218,VhAKxyr,55,user217@example.com,38.67
219,vxsrEhk,41,NA,98.87
220,12345,26,user219@example.com,83.39
221,ZJRNQaR,33,NaN,15.32
222,JmxgLcV,-5,user221@example.com,31.19
223,afPqakP,24,user222#notanemail,59.08
224,mIOtobl,27,user223@example.com,74.16
225,12345,21,user224@mail.net,85.52
226,LZmFNba,59,user225@example.com,17.68
227,VxDRmrh,61,user226@mail.net,30.42
228,HQNWDrB,18,user227@test.org,85.78
229,tOoMkRP,36,user228@example.com,98.66
230,EiPpsHI,40,user229@test.org,14.33
231,12345,33,user230@example.com,89.11
232,MydtEdM,58,user231@mail.net,66.83
233,LmsBRzG,48,NA,12.36
234,RNRGFjn,NA,user233@test.org,43.45
235,,0,not_an_email,97.0
236,UUQcEeZ,null,user235@example.com,20.46
237,GLVqGdf,47,user236@example.com,9.6
238,ixgtxBO,45,user237@mail.net,15.72
238,ixgtxBO,45,user237@mail.net,15.72
239,fsEaZfu,36,user238@example.com,71.81
240,NaN,48,not_an_email,27.41
241,cMnZhCB,44,user240@mail.net,87.17
242,NaN,53,user241@example.com,20.9
243,YwtkSHo,32,user242@mail.net,32.51
244,yfpeejb,60,user243@mail.net,2.82
245,FKIvWpk,103,user244@mail.net,30.41
246,SwrJado,50,user245@example.com,11.1
247,cMngdDu,NA,not_an_email,33.66
248,IuVoCPY,58,user247@example.com,78.82
249,WSNSgrW,49,user248@test.org,88.41
250,YngJHuP,40,user249@mail.net,5.57
250,YngJHuP,40,user249@mail.net,5.57
251,FOOPvqo,51,user250@example.com,68.27
252,NaN,52,user251@test.org,29.36
253,qEPrkYu,36,user252@test.org,77.85
254,IOBKPpP,57,not_an_email,57.32
255,vDXRDyc,48,user254#notanemail,78.97
256,LSwxcvy,21,user255@test.org,73.82
257,zaZokUM,26,user256@example.com,75.13
258,ZyfeKSi,none,user257@mail.net,95.98
258,ZyfeKSi,none,user257@mail.net,95.98
259,kDJBWoj,21,user258@mail.net,null
260,ypsmAIW,39,user259#notanemail,
260,ypsmAIW,39,user259#notanemail,
261,null,45,user260#notanemail,63.6
262,FJmqUcw,61,user261@test.org,31.67
262,FJmqUcw,61,user261@test.org,31.67
263,JUMYdiT,52,user262@example.com,none
264,gmxsfJU,null,user263@mail.net,50.13
264,gmxsfJU,null,user263@mail.net,50.13
265,gMDfMSc,51,user264@example.com,41.36
266,oRlwpci,39,user265@example.com,24.46
267,shxxVuT,58,user266@mail.net,75.92
268,12345,18,user267@test.org,50.43
269,RjFjUlW,37,user268@mail.net,null
270,gRTIfyu,-5,user269@mail.net,90.63
271,NaN,42,user270@mail.net,55.18
272,OPzIKzx,58,user271@mail.net,66.61
273,VaQPHXh,18,user272@test.org,5.09
274,WlqyUeb,65,user273@test.org,87.97
275,DrHDARN,26,user274@test.org,13.76
276,hQqinZH,53,user275@example.com,15.96
277,ySdABQH,62,user276@test.org,49.21
278,GuvMFTd,38,user277@mail.net,38.41
279,ZYFVtcz,26,user278@mail.net,93.94
280,FQTTbYf,34,user279#notanemail,20.06
281,ZyijvdV,62,user280@test.org,93.91
282,meAvxOG,36,user281@example.com,NA
283,NA,24,user282@test.org,42.01
284,hgdOpso,39,user283@mail.net,1.19
285,zrBJQBn,26,user284@mail.net,69.92
286,jzLypMA,29,user285@test.org,none
287,iYpafGL,56,not_an_email,70.66
288,rMZeVAa,28,user287@test.org,29.27
289,eHsalZH,45,user288@example.com,46.85
290,PnhWNwj,48,not_an_email,
291,UscsJii,46,user290@test.org,-15
292,PpRYWaa,61,user291@example.com,56.25
293,RyEJlWb,63,user292@example.com,72.17
294,jjMPqDx,27,user293@mail.net,7.56
295,rDOyzLS,18,user294@test.org,49.08
296,KQYOCoG,42,user295@mail.net,27.22
297,SznRZOm,40,user296@test.org,47.68
297,SznRZOm,40,user296@test.org,47.68
298,12345,63,user297@test.org,81.04
299,FqpXVzp,40,not_an_email,86.85
300,FtElpVq,19,user299@example.com,98.18
301,ppfeZxf,53,user300@mail.net,NA
302,null,,user301@test.org,
303,wKVOzLa,40,user302#notanemail,91.31
304,ymvrxlz,53,not_an_email,none
305,qvUgVnP,20,user304@test.org,57.09
306,TPtTHkK,57,user305@mail.net,86.97
307,QicqiHl,39,user306@example.com,46.37
308,Aogjupp,25,user307@example.com,67.99
309,iarvXgq,38,user308@mail.net,10.26
310,nIkNOKN,37,user309@mail.net,-15
311,csFKnOA,NaN,user310@mail.net,16.89
312,oEaCCPN,40,user311@example.com,NaN
313,sYmokxE,NA,user312@test.org,65.07
314,LnXoGSk,59,user313@mail.net,11.43
315,yRAdBMa,29,user314@mail.net,40.71
316,VuSmxgL,61,user315@example.com,41.43
317,YjifmAT,64,user316@example.com,94.84
318,12345,34,user317@example.com,94.97
319,ZzZIHbD,64,user318@test.org,56.76
320,null,19,user319@example.com,55.71
321,rBpIkpv,41,user320@mail.net,21.3
322,aWkHygL,,none,98.93
323,NaN,26,user322@test.org,80.39
324,12345,39,user323@mail.net,13.0
325,VKIzjqg,0,user324@test.org,53.11
326,mDiTsNb,40,user325@example.com,99.85
326,mDiTsNb,40,user325@example.com,99.85
327,none,26,user326@example.com,28.09
327,none,26,user326@example.com,28.09
328,NaN,23,user327@example.com,32.68
329,YXkEdof,33,user328@example.com,87.36
330,YshAEdf,38,user329@test.org,57.25
331,TJrPRkF,37,user330@mail.net,49.85
332,JAwkFlE,none,user331@mail.net,56.62
333,yrVpovZ,48,user332@example.com,5.93
334,USCKxVE,25,user333@test.org,5.04
335,siRCLJK,30,not_an_email,89.26
336,lHlBViK,,user335@mail.net,57.97
337,CylbVsp,30,user336@test.org,-15
338,hXZYJet,37,user337@mail.net,65.16
339,WmyDjOy,27,user338@test.org,0.84
340,SheJlAg,60,user339@example.com,39.65
341,hxRsOal,27,user340@example.com,82.2
342,uGyZYDb,46,user341#notanemail,23.42
343,uPRrbml,null,user342@example.com,78.19
344,wiQzUjq,25,user343@mail.net,18.55
345,gsSBPnh,18,user344@mail.net,1000
346,mZXzHYc,23,user345@mail.net,51.41
347,UqhQqji,36,user346@example.com,143.54
348,uFdKKsY,27,user347@mail.net,83.65
349,kVQtgBe,999,NaN,24.87
350,AqApAGE,23,user349@test.org,85.75
351,NpnADQu,52,null,51.01
352,cKSPdOC,60,user351@mail.net,30.61
353,QzuEebJ,54,user352@test.org,15.25
354,12345,52,user353@example.com,19.71
355,oCZzaKM,43,user354@mail.net,44.71
356,NCWJPEf,52,user355@example.com,58.46
357,pPpaghg,55,user356@example.com,27.02
358,KuESYls,38,user357@test.org,65.53
359,NppnTjI,40,user358@test.org,60.06
359,NppnTjI,40,user358@test.org,60.06
360,12345,33,NA,7.64
361,qdZJPch,59,NA,62.74
362,dKZZPPu,20,user361@mail.net,
363,YHkenVK,65,user362@test.org,71.38
364,NA,999,user363@mail.net,37.81
365,WujRitE,26,user364@test.org,41.44
366,NA,41,user365#notanemail,6.93
367,RIRysVu,56,user366@test.org,35.82
368,gZnadXC,19,user367@mail.net,74.82
369,QQqkqSQ,33,user368@example.com,54.35
370,KQLGYmg,37,null,1.12
371,uIASCyv,38,NA,87.66
372,teJCrNN,27,user371@example.com,2.15
373,kkKAbyw,29,user372#notanemail,99.43
374,KfTvRKp,18,user373#notanemail,75.63
375,uhAVyUw,55,user374@mail.net,5.51
376,bEfbEfs,45,user375@mail.net,36.64
377,vSBotfi,NA,user376@mail.net,53.8
378,none,,user377#notanemail,89.19
379,ZCyiveZ,22,user378@mail.net,12.45
380,tjrhBCK,44,user379@test.org,none
380,tjrhBCK,44,user379@test.org,none
381,NrSgFcC,47,user380@mail.net,NaN
381,NrSgFcC,47,user380@mail.net,NaN
382,WGVDoxO,50,user381@example.com,4.16
383,BGKODJw,NA,user382@mail.net,41.39
384,ZAGQllf,18,user383@mail.net,61.77
385,qnfjNzq,none,user384@example.com,9.6
386,Pkknhue,60,user385@example.com,92.68
387,sqAEdbt,,user386#notanemail,46.13
388,vLYpxAU,NaN,user387@example.com,null
389,XfosVSV,51,user388@test.org,7.75
390,ogdELAG,59,user389@mail.net,18.58
391,gSQENtF,56,user390@test.org,null
392,BPQRiqG,42,user391#notanemail,NA
393,LIDDRkF,19,user392@example.com,141.97
394,IOiylQS,20,user393@mail.net,47.58
395,ihYQqYt,59,null,35.71
396,vNjPkqB,64,user395@test.org,NA
397,YGzwUMS,none,user396@mail.net,18.12
398,NA,25,user397@mail.net,74.06
399,sYsvdGL,18,user398@test.org,15.27
400,hWPPTlh,19,user399@test.org,36.32
401,kLhwkor,56,user400@mail.net,36.92
402,TmRkNHk,24,user401@example.com,30.96
403,DifJYNd,52,user402@example.com,NaN
404,nNFQALn,58,user403@test.org,6.37
405,null,34,user404@test.org,1000
406,plwYeir,0,not_an_email,92.41
407,UsXZYxN,52,user406@example.com,abc
408,baAPaec,22,user407#notanemail,39.67
409,EGErSqi,-5,user408@example.com,2.85
410,oIXGEsl,46,user409@example.com,97.56
411,zfpXkwr,50,user410#notanemail,1000
412,NaN,57,user411@test.org,35.93
413,XbYZAlt,26,user412@example.com,1000
414,none,51,user413@mail.net,34.78
415,YKbptnr,63,user414@example.com,49.46
416,CzcNacJ,27,user415@test.org,NaN
417,ORmyGMI,39,user416@example.com,89.2
418,12345,0,not_an_email,14.1
419,weArImd,64,user418@mail.net,70.58
420,wxhbSFH,22,user419@example.com,20.77
421,VeMPvAb,20,user420@mail.net,86.28
422,IGLpMEp,43,user421@test.org,64.13
423,zgVxcCz,22,user422@example.com,96.67
424,wtflUkq,45,user423@mail.net,NaN
425,kzUNkxQ,20,user424@mail.net,49.16
426,ZAdqxWC,24,user425@example.com,51.9
427,OyKNCAv,27,user426@example.com,53.07
428,fkGiAgS,38,user427@example.com,45.7
429,nzBhkNT,48,user428@example.com,61.54
430,WYrpyqR,21,user429@mail.net,90.74
431,RVpFZmU,35,user430@example.com,97.51
432,gRlBska,42,user431@mail.net,9.91
433,bXFEfTQ,35,null,95.92
434,tZwjgqM,none,user433@example.com,88.24
435,UeqcAVn,999,user434#notanemail,84.23
435,UeqcAVn,999,user434#notanemail,84.23
436,tJlzzQW,52,user435@example.com,35.89
437,lbQCMQq,26,user436@test.org,37.72
438,vyPjADe,19,user437@example.com,16.73
438,vyPjADe,19,user437@example.com,16.73
439,null,35,user438@mail.net,48.08
440,aWsLyeC,49,user439@example.com,76.06
441,TSVBqAJ,56,not_an_email,69.75
442,none,20,user441@mail.net,47.14
443,gLaHzrf,97,user442@example.com,72.18
444,qExgiiJ,62,user443@test.org,39.12
445,eAagPnv,38,user444@example.com,none
446,wCGcHCc,21,user445@mail.net,14.67
446,wCGcHCc,21,user445@mail.net,14.67
447,QJFWKyp,32,user446@example.com,84.61
448,atWLMfE,47,not_an_email,54.36
449,HEyjNBG,19,user448@test.org,28.14
450,UBdbAjv,45,user449@example.com,54.86
451,wgkzhap,38,user450@test.org,null
452,YpWcZyx,,user451@test.org,67.74
453,xNYXtto,19,user452@test.org,38.63
454,AIBssiX,29,not_an_email,57.33
455,CldYZdh,61,user454@mail.net,79.85
456,upeedKo,26,user455@example.com,66.0
457,ovvErFl,30,user456@example.com,91.82
457,ovvErFl,30,user456@example.com,91.82
458,mZXagxR,30,user457@mail.net,21.93
459,jydcjrz,38,user458@example.com,7.51
460,sUnJsjI,54,not_an_email,9.16
461,ZaYIkJG,49,user460@test.org,25.26
462,odiFBDE,34,user461@mail.net,15.3
463,qjqnKws,52,user462@mail.net,30.87
464,rlUvcAy,none,user463@test.org,30.67
465,YlBkneS,44,user464@example.com,55.23
466,HSRgFFz,24,user465@mail.net,38.47
467,zrBfhcP,33,user466@example.com,91.66
468,wjVZRmp,30,user467@test.org,1000
469,null,57,user468@test.org,95.93
469,null,57,user468@test.org,95.93
470,LZstVZG,65,user469@mail.net,79.14
471,AxIjyFD,61,user470@example.com,58.61
472,12345,44,user471@test.org,0.27
473,nkgUPlq,58,user472@mail.net,85.66
474,kSqjeMk,28,user473@test.org,4.33
475,hySUISa,53,user474@test.org,8.31
476,YhKaICB,24,user475@test.org,136.14
477,kabNxBt,21,user476@mail.net,43.82
477,kabNxBt,21,user476@mail.net,43.82
478,TmxtBHU,26,user477@test.org,50.31
479,HGawyQU,57,user478@mail.net,5.52
480,awwJkIA,43,user479@mail.net,68.64
481,oGTtMhC,22,user480@mail.net,168.75
482,ANVFPtN,999,user481@test.org,16.72
483,BmVhMjs,27,user482@example.com,185.79
483,BmVhMjs,27,user482@example.com,185.79
484,vNgNlTS,none,user483#notanemail,98.1
485,JFSNcZI,41,not_an_email,166.23
486,,63,user485@test.org,58.15
487,LEHjLyD,33,user486@test.org,83.74
488,AfaYdjX,47,user487@mail.net,49.07
489,12345,30,user488@mail.net,73.6
490,ADiXAfl,37,user489@example.com,21.65
490,ADiXAfl,37,user489@example.com,21.65
491,KKyzFjO,none,user490@mail.net,85.92
492,MSnDNYy,,user491@test.org,81.51
493,geCHfDY,21,user492@mail.net,33.95
494,YVjHwJA,999,user493@example.com,32.33
495,UdXpqsE,26,user494@example.com,49.17
496,gKHhlGh,-5,none,27.58
497,voqoQAk,23,user496@mail.net,49.61
498,oFTBKXv,28,user497@mail.net,96.28
499,wScRodp,22,user498@example.com,none
500,RbHOaZO,63,user499@example.com,36.01
501,rnrfvSC,56,user500@example.com,18.66
501,rnrfvSC,56,user500@example.com,18.66
502,UxcOAwT,59,user501@test.org,-15
503,uuznyPE,49,user502@example.com,30.69
504,YamJXZT,56,user503@test.org,8.1
505,MPSaWtO,59,user504@test.org,78.48
506,wWImiHB,28,user505@mail.net,93.6
507,QHoKNby,26,user506@mail.net,41.83
508,xkivolL,54,user507@test.org,93.76
509,NaN,31,user508@test.org,77.65
510,GtyObYV,40,not_an_email,97.5
510,GtyObYV,40,not_an_email,97.5
511,ZrPwoRK,18,user510#notanemail,47.28
512,IbvlbaL,64,user511@mail.net,40.37
513,jJvaeqQ,63,user512@mail.net,4.45
514,zlVKnNk,null,user513@example.com,2.58
515,SeJySIs,NaN,user514@mail.net,
516,gasmDDh,0,user515@example.com,63.75
517,UcKyJGT,,user516@test.org,51.94
518,ZRRfbgK,44,user517@mail.net,95.01
519,fZWtcbX,0,user518@example.com,85.14
520,TbzsdlC,104,user519@test.org,8.93
521,12345,39,user520@mail.net,7.16
522,hBJAcUZ,57,user521@test.org,19.43
523,OCLZhUT,26,user522@test.org,35.16
524,vzSBlmo,50,user523@test.org,null
525,BLzPoQD,36,user524@mail.net,92.14
526,gqjkCMq,23,user525@mail.net,18.97
527,kyjXdYf,40,user526@example.com,96.53
528,ZzeJcSQ,65,user527@example.com,24.39
529,null,24,user528@mail.net,4.58
529,null,24,user528@mail.net,4.58
530,dmbPEkT,NA,user529#notanemail,33.82
531,dnPhBUy,57,user530@example.com,6.09
532,nDPNoIW,59,user531@example.com,47.02
533,dgeNBqk,52,user532@test.org,18.54
534,dtueuie,38,user533@mail.net,6.31
535,YOusWGo,NaN,user534@mail.net,-15
536,vOMWyYK,19,user535@mail.net,45.65
537,OeCzrxN,22,user536@example.com,
538,qenxBcb,44,user537@mail.net,40.58
539,null,52,user538@test.org,7.02
540,TXBWIut,59,user539@example.com,abc
541,HUTmfhO,52,user540@example.com,null
542,NA,-5,user541@mail.net,21.84
543,nasPAMN,22,user542@example.com,NaN
544,zfJZkPN,null,user543@mail.net,66.69
545,znLoZoU,32,user544@example.com,54.52
546,WasmKRP,48,user545@test.org,9.68
547,WEmrFJX,40,user546@test.org,69.46
548,nzQvXvu,61,user547@test.org,73.8
549,TNHlSoz,25,none,12.55
550,OJFduxM,65,user549@mail.net,15.03
551,cLBPsqJ,40,user550#notanemail,null
552,gxGlFLg,36,user551@test.org,91.17
553,lJtfbzY,24,user552@test.org,NA
554,ttEfYLj,36,user553@test.org,64.82
554,ttEfYLj,36,user553@test.org,64.82
555,HeVMnVj,48,user554@mail.net,10.43
556,opaLRnc,53,user555@test.org,76.69
557,OquurVp,60,user556@test.org,7.33
558,hZPYUWJ,65,user557@example.com,63.52
559,vAeCDnp,42,not_an_email,45.89
560,CZZmyLO,55,user559@example.com,24.0
561,QohBOvh,52,user560@mail.net,40.67
562,ZIzDnPJ,57,user561@example.com,14.6
563,coTOAdN,50,user562@mail.net,29.08
564,NwxUvUX,44,user563@test.org,2.04
565,XvcTVsl,27,user564@example.com,62.87
566,cjKTaXA,NA,user565@mail.net,97.23
567,tEiTjZo,54,user566#notanemail,35.36
568,AtnwFGb,37,user567@example.com,28.86
569,NVsuNov,23,user568@mail.net,83.4
570,tPItgLL,20,null,51.18
571,NIeiMaA,52,none,16.61
572,LuQRgSa,999,user571@example.com,72.63
573,vUUeDIi,35,user572@test.org,70.0
574,PPzpMDO,23,user573@example.com,9.69
575,NaN,34,user574@example.com,63.91
576,12345,57,user575@test.org,47.82
577,ohOpuxp,28,user576@example.com,16.92
577,ohOpuxp,28,user576@example.com,16.92
578,rQhHxPD,46,user577@example.com,77.33
579,zyxcPHi,51,user578@mail.net,54.91
579,zyxcPHi,51,user578@mail.net,54.91
580,FDZbZbv,53,null,82.54
581,,none,user580@test.org,19.11
582,jndsYea,41,user581@mail.net,98.69
583,hAmSqea,59,NaN,63.08
584,EJqbKdy,30,not_an_email,22.71
585,NaN,46,user584#notanemail,38.38
585,NaN,46,user584#notanemail,38.38
586,meGJlID,53,user585@test.org,92.15
587,pmRdmKW,46,user586@example.com,abc
588,eGdAFIA,38,user587@test.org,68.66
589,xXTYrNJ,43,user588@mail.net,91.17
590,bwjMrdu,21,,43.44
591,hIZiEWq,19,user590@test.org,72.19
592,qOnXPng,19,user591@test.org,39.98
593,ppXfhXN,61,user592@mail.net,76.11
594,McHHFej,48,user593@mail.net,16.92
594,McHHFej,48,user593@mail.net,16.92
595,PIrwnSk,60,user594@mail.net,5.48
596,SZytuIr,37,user595@test.org,21.8
